Name,Price,Color,Acidity,Country
Robert Mondavi Cabernet Sauvignon 2019,32.99,Red,Dry,USA
Kendall-Jackson Vintner’s Reserve Chardonnay 2021,17.99,White,Dry,USA
Chateau Ste. Michelle Riesling 2020,10.99,White,Semi-Sweet,USA
Silver Oak Napa Valley Cabernet Sauvignon 2018,129.00,Red,Dry,USA
Duckhorn Merlot 2020,55.00,Red,Dry,USA
Cakebread Cellars Chardonnay 2021,47.00,White,Dry,USA
Beringer White Zinfandel 2022,6.49,White,Sweet,USA
Meiomi Pinot Noir 2021,19.99,Red,Semi-Dry,USA
La Crema Sonoma Coast Chardonnay 2021,23.99,White,Dry,USA
Josh Cellars Cabernet Sauvignon 2021,15.99,Red,Dry,USA
Barefoot Moscato 2022,6.99,White,Sweet,USA
Apothic Red Winemaker's Blend 2021,10.99,Red,Semi-Sweet,USA
Coppola Diamond Collection Pinot Noir 2020,16.99,Red,Dry,USA
Santa Margherita Pinot Grigio 2021,22.99,White,Dry,Italy
Kim Crawford Sauvignon Blanc 2022,14.99,White,Dry,New Zealand
Stag's Leap Wine Cellars Artemis Cabernet Sauvignon 2019,64.99,Red,Dry,USA
J. Lohr Estates Riverstone Chardonnay 2022,11.99,White,Dry,USA
Joel Gott Sauvignon Blanc 2022,12.99,White,Dry,USA
Franciscan Cabernet Sauvignon 2020,19.99,Red,Dry,USA
Ruffino Lumina Pinot Grigio 2021,10.99,White,Dry,Italy
Yellow Tail Shiraz 2022,7.49,Red,Semi-Dry,Australia
Decoy by Duckhorn Sauvignon Blanc 2022,17.99,White,Dry,USA
Louis Jadot Beaujolais-Villages 2021,12.99,Red,Dry,France
Sterling Vintner’s Collection Merlot 2020,11.99,Red,Dry,USA
Woodbridge by Robert Mondavi Chardonnay 2022,7.99,White,Dry,USA
Mirassou Pinot Noir 2021,9.99,Red,Semi-Dry,USA
Columbia Crest Grand Estates Cabernet Sauvignon 2020,10.99,Red,Dry,USA
Bogle Chardonnay 2021,9.99,White,Dry,USA
Clos du Bois Merlot 2020,12.49,Red,Dry,USA
Cupcake Vineyards Moscato d’Asti 2022,9.99,White,Sweet,Italy
Wente Morning Fog Chardonnay 2021,14.99,White,Dry,USA
Gnarly Head Old Vine Zinfandel 2021,10.99,Red,Dry,USA
Ecco Domani Pinot Grigio 2022,9.99,White,Dry,Italy
Frei Brothers Reserve Merlot 2020,18.99,Red,Dry,USA
Sutter Home White Zinfandel 2022,6.49,White,Sweet,USA
Menage à Trois Red Blend 2021,9.99,Red,Semi-Sweet,USA
Kim Crawford Rosé 2022,15.99,White,Semi-Dry,New Zealand
Rodney Strong Chardonnay 2021,14.99,White,Dry,USA
Mark West Pinot Noir 2021,10.99,Red,Semi-Dry,USA
Chateau Montelena Chardonnay 2020,59.00,White,Dry,USA
Liberty School Cabernet Sauvignon 2020,14.99,Red,Dry,USA
Joel Gott Zinfandel 2021,17.99,Red,Dry,USA
Benziger Sauvignon Blanc 2022,12.99,White,Dry,USA
Line 39 Cabernet Sauvignon 2021,9.99,Red,Dry,USA
Kunde Estate Chardonnay 2021,18.99,White,Dry,USA
Francis Coppola Claret 2020,19.99,Red,Dry,USA
Trinity Oaks Pinot Grigio 2022,8.99,White,Dry,USA
